epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1611.83,0.93399,1.13873,1.1574,0.69466,0.58869,0.64159,0.48449,0.86561,0.88748,1.07338,1e-05,1e-05,1e-05
2,3183.31,0.91646,1.06418,1.14657,0.69857,0.59903,0.6517,0.49211,0.86048,0.87775,1.07274,9.33683e-06,9.33683e-06,9.33683e-06
3,4717.23,0.91047,1.0421,1.14177,0.68787,0.60843,0.65549,0.49633,0.85905,0.8713,1.06831,7.525e-06,7.525e-06,7.525e-06
4,6234.66,0.90686,1.0282,1.13917,0.69613,0.60758,0.65875,0.49841,0.8579,0.8658,1.0689,5.05e-06,5.05e-06,5.05e-06
5,7755.76,0.90447,1.01908,1.13713,0.70738,0.60321,0.65993,0.49984,0.85702,0.86313,1.06723,2.575e-06,2.575e-06,2.575e-06
6,9271.91,0.90224,1.013,1.13548,0.70362,0.60514,0.66083,0.50069,0.85631,0.86184,1.06584,7.63174e-07,7.63174e-07,7.63174e-07
