epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1517.29,0.93382,1.13982,1.15864,0.68714,0.59299,0.64112,0.48297,0.86471,0.89106,1.0734,1e-05,1e-05,1e-05
2,3060.41,0.9161,1.06498,1.14486,0.69856,0.60089,0.65088,0.49081,0.86077,0.87844,1.06845,9.33683e-06,9.33683e-06,9.33683e-06
3,4598.89,0.90979,1.04214,1.14095,0.699,0.60186,0.6548,0.49535,0.85858,0.8715,1.0683,7.525e-06,7.525e-06,7.525e-06
4,6125.09,0.90559,1.0289,1.1381,0.70158,0.60357,0.65852,0.49808,0.85687,0.86663,1.06446,5.05e-06,5.05e-06,5.05e-06
5,7654.21,0.9035,1.01893,1.13533,0.70723,0.60141,0.66083,0.50078,0.85695,0.86315,1.06488,2.575e-06,2.575e-06,2.575e-06
6,9179.9,0.90167,1.01293,1.13467,0.69719,0.60865,0.66126,0.5014,0.85639,0.86168,1.06471,7.63174e-07,7.63174e-07,7.63174e-07
