epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1522,0.93699,1.12338,1.15893,0.66748,0.58889,0.63304,0.4745,0.87852,0.91956,1.08284,5e-05,5e-05,5e-05
2,3046.15,0.92512,1.05936,1.14655,0.70576,0.58517,0.64874,0.4875,0.87711,0.89446,1.07496,4.66841e-05,4.66841e-05,4.66841e-05
3,4583.74,0.91549,1.02611,1.13955,0.70465,0.6006,0.65566,0.49481,0.87003,0.88154,1.06759,3.7625e-05,3.7625e-05,3.7625e-05
4,6124.71,0.90657,0.9962,1.13148,0.71429,0.60419,0.6648,0.50248,0.86405,0.86458,1.06264,2.525e-05,2.525e-05,2.525e-05
5,7664.13,0.89766,0.97239,1.12457,0.7056,0.61456,0.66885,0.50574,0.86143,0.8534,1.06198,1.2875e-05,1.2875e-05,1.2875e-05
6,9209.57,0.8913,0.95517,1.12181,0.70892,0.61288,0.67105,0.50741,0.85896,0.84833,1.06185,3.81587e-06,3.81587e-06,3.81587e-06
