epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1531.41,0.9853,1.13828,1.13822,0.69021,0.57762,0.63353,0.47341,0.88582,0.92081,1.07954,5e-05,5e-05,5e-05
2,3094.31,0.9746,1.07823,1.12761,0.70707,0.58469,0.64825,0.48441,0.87995,0.90431,1.08035,4.66841e-05,4.66841e-05,4.66841e-05
3,4637.8,0.96715,1.04773,1.12368,0.692,0.60595,0.65627,0.49315,0.87525,0.88568,1.07192,3.7625e-05,3.7625e-05,3.7625e-05
4,6180.06,0.95762,1.01998,1.11864,0.7133,0.60095,0.66478,0.50074,0.86803,0.86913,1.07057,2.525e-05,2.525e-05,2.525e-05
5,7726.03,0.94837,0.99598,1.11269,0.7132,0.60442,0.66914,0.50602,0.86187,0.85715,1.06226,1.2875e-05,1.2875e-05,1.2875e-05
