epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1534.86,1.06728,1.41492,1.2423,0.60943,0.49551,0.52087,0.37139,1.01487,1.16225,1.16415,0.0003,0.0003,0.0003
2,3095.09,1.04845,1.31941,1.22924,0.63551,0.52338,0.55676,0.40201,0.99592,1.10479,1.15184,0.000280105,0.000280105,0.000280105
3,4646.9,1.01654,1.23025,1.20873,0.67185,0.53171,0.58331,0.42435,0.96032,1.03609,1.14149,0.00022575,0.00022575,0.00022575
4,6185.48,0.98136,1.13861,1.18594,0.67182,0.57285,0.61937,0.45778,0.92613,0.95359,1.11073,0.0001515,0.0001515,0.0001515
5,7717.74,0.94645,1.05352,1.16337,0.69222,0.58527,0.64496,0.48066,0.90189,0.91089,1.09699,7.725e-05,7.725e-05,7.725e-05
6,9262.11,0.92282,0.99439,1.14928,0.72501,0.58681,0.65258,0.48842,0.89542,0.89285,1.09439,2.28952e-05,2.28952e-05,2.28952e-05
