epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1538.72,0.93757,1.12324,1.15544,0.68346,0.58253,0.63482,0.47588,0.8802,0.91763,1.08145,5e-05,5e-05,5e-05
2,3101.12,0.9254,1.05967,1.14928,0.69385,0.58869,0.64627,0.48647,0.87724,0.89716,1.08117,4.66841e-05,4.66841e-05,4.66841e-05
3,4649.34,0.91543,1.02752,1.13956,0.70694,0.59662,0.65579,0.49428,0.87111,0.88235,1.07155,3.7625e-05,3.7625e-05,3.7625e-05
4,6201.03,0.9051,0.99792,1.13268,0.70952,0.60419,0.66448,0.50225,0.8625,0.8645,1.06751,2.525e-05,2.525e-05,2.525e-05
5,7757.12,0.89677,0.97386,1.12939,0.7121,0.60974,0.67087,0.50715,0.85965,0.85416,1.06749,1.2875e-05,1.2875e-05,1.2875e-05
6,9318.86,0.89131,0.95627,1.12605,0.70751,0.61267,0.67181,0.50874,0.8584,0.84992,1.06656,3.81587e-06,3.81587e-06,3.81587e-06
