epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1304.35,1.00109,1.05235,1.07337,0.66681,0.50513,0.54968,0.39756,0.9536,0.90048,1.0207,5e-05,5e-05,5e-05
2,2634.89,0.98394,0.98017,1.06171,0.65774,0.51266,0.55244,0.40015,0.95525,0.8923,1.02342,4.91567e-05,4.91567e-05,4.91567e-05
3,3981.32,0.97603,0.95246,1.05987,0.66842,0.51813,0.55832,0.4044,0.95652,0.88708,1.02329,4.66841e-05,4.66841e-05,4.66841e-05
4,5330.67,0.9687,0.9301,1.05251,0.67545,0.51929,0.56553,0.41022,0.95366,0.87419,1.01535,4.27509e-05,4.27509e-05,4.27509e-05
5,6685.42,0.96057,0.90805,1.04763,0.68059,0.53396,0.57319,0.41828,0.94353,0.8625,1.0156,3.7625e-05,3.7625e-05,3.7625e-05
6,8010.2,0.95232,0.88809,1.04413,0.68593,0.52894,0.5776,0.42151,0.94172,0.85369,1.01218,3.16558e-05,3.16558e-05,3.16558e-05
7,9350.34,0.94535,0.86949,1.0397,0.6961,0.5301,0.57851,0.42266,0.93865,0.84784,1.01142,2.525e-05,2.525e-05,2.525e-05
8,10709.5,0.93708,0.85299,1.03539,0.70095,0.53244,0.58276,0.42522,0.93783,0.84312,1.01133,1.88442e-05,1.88442e-05,1.88442e-05
9,12045.7,inf,0.83637,1.03249,0.70083,0.5357,0.58297,0.42603,0.93606,0.84034,1.01048,1.2875e-05,1.2875e-05,1.2875e-05
10,13387,0.92705,0.82513,1.02922,0.70171,0.53684,0.58328,0.42591,0.93596,0.83853,1.01073,7.74911e-06,7.74911e-06,7.74911e-06
11,14718.7,0.92208,0.81607,1.02604,0.70262,0.53746,0.58349,0.42606,0.93536,0.83751,1.01046,3.81587e-06,3.81587e-06,3.81587e-06
12,16059,0.92052,0.81135,1.02504,0.70368,0.53704,0.58378,0.4261,0.93478,0.83642,1.01019,1.34334e-06,1.34334e-06,1.34334e-06
