epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2414.94,0.95079,1.21696,1.17483,0.6583,0.58329,0.62568,0.46691,0.88133,0.92763,1.08175,5e-05,5e-05,5e-05
2,4890.82,0.93463,1.1307,1.1631,0.6719,0.59718,0.63657,0.47412,0.87784,0.91366,1.08589,4.66841e-05,4.66841e-05,4.66841e-05
3,7368.4,0.92582,1.09135,1.15791,0.69728,0.59085,0.64645,0.48433,0.87011,0.89692,1.08235,3.7625e-05,3.7625e-05,3.7625e-05
4,9856.3,0.91444,1.05715,1.15177,0.6863,0.60675,0.65361,0.49059,0.86768,0.88061,1.07727,2.525e-05,2.525e-05,2.525e-05
5,12436.1,0.90633,1.028,1.14293,0.69081,0.60742,0.6574,0.49561,0.86278,0.86908,1.07151,1.2875e-05,1.2875e-05,1.2875e-05
6,15005.2,0.89924,1.00823,1.1388,0.69599,0.60937,0.65979,0.49746,0.86022,0.86313,1.07033,3.81587e-06,3.81587e-06,3.81587e-06
