epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1462.31,0.927,1.07169,1.14402,0.69471,0.5797,0.64003,0.47861,0.88222,0.9111,1.07687,5e-05,5e-05,5e-05
2,2928.56,0.91789,1.01915,1.13605,0.70353,0.59174,0.65056,0.48851,0.87945,0.89356,1.07034,4.66841e-05,4.66841e-05,4.66841e-05
3,4391.41,0.90971,0.98678,1.1315,0.71001,0.59489,0.66104,0.49776,0.87258,0.8756,1.06784,3.7625e-05,3.7625e-05,3.7625e-05
4,5857.55,0.89968,0.95997,1.12293,0.71903,0.60405,0.6691,0.50491,0.86891,0.85619,1.06624,2.525e-05,2.525e-05,2.525e-05
5,7317.3,0.89084,0.93402,1.11928,0.73438,0.60171,0.67644,0.51191,0.86415,0.84726,1.06699,1.2875e-05,1.2875e-05,1.2875e-05
6,8778.36,0.88522,0.9202,1.11475,0.73663,0.60501,0.67813,0.51396,0.86247,0.84293,1.06482,3.81587e-06,3.81587e-06,3.81587e-06
