epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1586.86,0.93796,1.12151,1.15675,0.68488,0.58428,0.635,0.47573,0.88268,0.91282,1.07548,5e-05,5e-05,5e-05
2,3210.48,0.92559,1.05818,1.14629,0.70154,0.58451,0.6465,0.48537,0.87711,0.89534,1.07766,4.66841e-05,4.66841e-05,4.66841e-05
3,4827.26,0.91555,1.02662,1.14092,0.71664,0.59579,0.65651,0.49377,0.87215,0.87828,1.07206,3.7625e-05,3.7625e-05,3.7625e-05
4,6443.05,0.90594,0.99717,1.13395,0.71189,0.60552,0.66456,0.50163,0.86525,0.86471,1.07203,2.525e-05,2.525e-05,2.525e-05
5,8062.05,0.89715,0.97153,1.12839,0.71398,0.60709,0.66921,0.50591,0.86016,0.85433,1.06763,1.2875e-05,1.2875e-05,1.2875e-05
6,9680.77,inf,0.95545,1.12584,0.71467,0.60951,0.67171,0.50827,0.85889,0.85003,1.06672,3.81587e-06,3.81587e-06,3.81587e-06
