epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1519.51,1.15457,1.62229,1.30025,0.5522,0.44631,0.46228,0.32323,1.08188,1.29549,1.22399,0.0005,0.0005,0.0005
2,3067.12,1.10825,1.45959,1.27434,0.60661,0.47069,0.50312,0.35736,1.04474,1.21985,1.19847,0.000466841,0.000466841,0.000466841
3,4608.34,1.06121,1.32951,1.24295,0.6447,0.50555,0.55218,0.39677,0.99522,1.1093,1.17933,0.00037625,0.00037625,0.00037625
4,6154.69,1.01479,1.21328,1.21051,0.6683,0.54831,0.59774,0.43684,0.95605,1.00638,1.13417,0.0002525,0.0002525,0.0002525
5,7706.12,0.97219,1.10693,1.18362,0.68755,0.57442,0.62487,0.46378,0.92517,0.94812,1.11661,0.00012875,0.00012875,0.00012875
6,9243.21,0.94169,1.03477,1.16479,0.69939,0.5772,0.63623,0.47364,0.91265,0.92378,1.11125,3.81587e-05,3.81587e-05,3.81587e-05
