epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1529.39,2.41188,4.40142,2.427,0.00267,0.03002,0.00095,0.00031,2.52985,4.0754,2.54012,0.05,0.05,0.05
2,3136.29,2.35929,4.32472,2.3607,0.00472,0.05888,0.00227,0.00083,2.42727,4.29022,2.47175,0.0466841,0.0466841,0.0466841
3,4756.5,2.2881,4.21172,2.27334,0.00547,0.08563,0.00342,0.00134,2.2675,4.00793,2.27579,0.037625,0.037625,0.037625
4,6372.62,2.17726,4.00973,2.16833,0.00845,0.11891,0.00688,0.00328,2.09941,3.97837,2.13973,0.02525,0.02525,0.02525
5,7988.27,2.0055,3.65053,2.01546,0.01057,0.26536,0.02369,0.01257,1.8806,3.46199,1.94833,0.012875,0.012875,0.012875
6,9589.1,1.7939,3.15038,1.84281,0.46447,0.09938,0.08093,0.04779,1.64195,2.61304,1.73168,0.00381587,0.00381587,0.00381587
