epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1540.32,0.93809,1.12193,1.15408,0.67382,0.5826,0.63442,0.47689,0.87692,0.9171,1.07834,5e-05,5e-05,5e-05
2,3107.16,0.92435,1.05856,1.14782,0.69294,0.58927,0.64575,0.48429,0.87633,0.89451,1.07565,4.66841e-05,4.66841e-05,4.66841e-05
3,4669.52,inf,1.02661,1.14079,0.70496,0.5999,0.6557,0.49315,0.86972,0.88155,1.0719,3.7625e-05,3.7625e-05,3.7625e-05
4,6246.65,0.905,0.99585,1.13483,0.71108,0.60043,0.66499,0.50196,0.86606,0.86197,1.06694,2.525e-05,2.525e-05,2.525e-05
5,7831.08,0.89675,0.97171,1.12699,0.70652,0.613,0.66945,0.50618,0.86187,0.85215,1.06677,1.2875e-05,1.2875e-05,1.2875e-05
6,9423.47,0.89112,0.95506,1.12509,0.70832,0.61499,0.67097,0.5079,0.85959,0.84909,1.06471,3.81587e-06,3.81587e-06,3.81587e-06
