epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1538.57,1.8263,3.27416,1.86527,0.4686,0.04122,0.02435,0.01267,1.95433,3.15606,2.01554,0.01,0.01,0.01
2,3098.05,1.85743,3.37759,1.9196,0.55858,0.04246,0.0343,0.01776,1.84102,3.10555,1.9315,0.00933683,0.00933683,0.00933683
3,4656.41,1.80309,3.2626,1.87945,0.49374,0.07986,0.05394,0.02972,1.711,2.81817,1.81095,0.007525,0.007525,0.007525
4,6204.9,1.72235,3.05954,1.81743,0.36748,0.12433,0.09305,0.05496,1.56894,2.50536,1.71407,0.00505,0.00505,0.00505
5,7753.89,1.60268,2.74321,1.72705,0.31497,0.20563,0.15609,0.09652,1.43501,2.15754,1.59931,0.002575,0.002575,0.002575
6,9300.99,1.43618,2.30355,1.60313,0.38174,0.27875,0.24841,0.1626,1.30558,1.80038,1.49816,0.000763174,0.000763174,0.000763174
