epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1423.01,0.93751,1.12216,1.15667,0.68396,0.58624,0.63321,0.47495,0.88039,0.92143,1.08073,5e-05,5e-05,5e-05
2,2849.83,0.92507,1.05858,1.14726,0.70407,0.59537,0.64959,0.4867,0.87734,0.89592,1.08521,4.66841e-05,4.66841e-05,4.66841e-05
3,4277.9,0.91555,1.02709,1.13905,0.71464,0.59524,0.65673,0.49339,0.87124,0.88355,1.07153,3.7625e-05,3.7625e-05,3.7625e-05
4,5704.9,0.90555,0.9963,1.13241,0.71571,0.60636,0.6657,0.50146,0.8657,0.86722,1.07185,2.525e-05,2.525e-05,2.525e-05
5,7131.45,0.89707,0.97218,1.12865,0.71779,0.61097,0.67033,0.50573,0.8612,0.8575,1.06768,1.2875e-05,1.2875e-05,1.2875e-05
6,8553.16,0.89186,0.95489,1.12476,0.70685,0.61687,0.67269,0.50816,0.85924,0.85119,1.06652,3.81587e-06,3.81587e-06,3.81587e-06
