epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1422.98,0.93784,1.12217,1.15572,0.68231,0.59057,0.63616,0.47669,0.87727,0.91449,1.07471,5e-05,5e-05,5e-05
2,2847.88,0.92453,1.05963,1.14519,0.70089,0.59131,0.64549,0.48432,0.87587,0.90106,1.07601,4.66841e-05,4.66841e-05,4.66841e-05
3,4273.74,0.91533,1.02702,1.13879,0.71599,0.59268,0.65646,0.49371,0.87181,0.88781,1.0723,3.7625e-05,3.7625e-05,3.7625e-05
4,5702.75,0.90576,0.99815,1.13198,0.71504,0.60779,0.66642,0.50274,0.86388,0.86555,1.06217,2.525e-05,2.525e-05,2.525e-05
5,7135.38,inf,0.97244,1.1248,0.71126,0.61264,0.67194,0.50721,0.86128,0.85481,1.06573,1.2875e-05,1.2875e-05,1.2875e-05
6,8560.11,0.89129,0.95543,1.12279,0.71318,0.61552,0.6737,0.50928,0.85868,0.85124,1.06387,3.81587e-06,3.81587e-06,3.81587e-06
