epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1430.76,0.93851,1.12204,1.15406,0.66296,0.59051,0.63204,0.47351,0.87714,0.92309,1.07829,5e-05,5e-05,5e-05
2,2866.14,0.92475,1.06036,1.14354,0.71261,0.58716,0.64742,0.48619,0.87602,0.8961,1.07295,4.66841e-05,4.66841e-05,4.66841e-05
3,4300.05,0.9158,1.02715,1.13889,0.71141,0.59517,0.65552,0.49361,0.87172,0.88415,1.06703,3.7625e-05,3.7625e-05,3.7625e-05
4,5732.36,0.90591,0.99737,1.13203,0.71525,0.60057,0.66593,0.5027,0.86428,0.86429,1.06878,2.525e-05,2.525e-05,2.525e-05
5,7165.93,0.89805,0.97157,1.12612,0.71039,0.61301,0.67097,0.50741,0.86173,0.85196,1.06328,1.2875e-05,1.2875e-05,1.2875e-05
6,8597.61,0.89162,0.95426,1.12177,0.71267,0.61311,0.67406,0.50952,0.85936,0.84703,1.06355,3.81587e-06,3.81587e-06,3.81587e-06
