epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1531.61,0.93651,1.12323,1.15983,0.70004,0.5786,0.63377,0.47483,0.87997,0.91889,1.08153,5e-05,5e-05,5e-05
2,3103.01,0.92416,1.05889,1.14587,0.68884,0.5973,0.64524,0.48461,0.87754,0.89638,1.07702,4.66841e-05,4.66841e-05,4.66841e-05
3,4656.4,0.91465,1.02524,1.14063,0.71164,0.59371,0.6566,0.49358,0.87219,0.88399,1.07216,3.7625e-05,3.7625e-05,3.7625e-05
4,6193.21,0.90598,0.99552,1.13176,0.71324,0.60486,0.6649,0.50175,0.86578,0.86439,1.06166,2.525e-05,2.525e-05,2.525e-05
5,7717.51,0.89763,0.97156,1.12358,0.71388,0.6096,0.67103,0.50703,0.86209,0.85146,1.06217,1.2875e-05,1.2875e-05,1.2875e-05
