epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1506.95,0.96216,1.17283,1.16973,0.6732,0.5614,0.60833,0.45135,0.90265,0.97147,1.09909,0.0001,0.0001,0.0001
2,3056.27,0.95155,1.11312,1.1644,0.67568,0.57764,0.62454,0.46436,0.90773,0.94519,1.09488,9.33683e-05,9.33683e-05,9.33683e-05
3,4609.86,0.93842,1.06697,1.15146,0.70039,0.58744,0.64148,0.47874,0.89043,0.9137,1.08683,7.525e-05,7.525e-05,7.525e-05
4,6161.96,0.92175,1.01998,1.14233,0.70574,0.60538,0.65725,0.49284,0.88043,0.88334,1.07763,5.05e-05,5.05e-05,5.05e-05
5,7707.17,inf,0.97691,1.1311,0.70501,0.61187,0.66818,0.5026,0.87293,0.86367,1.07191,2.575e-05,2.575e-05,2.575e-05
6,9241.26,0.89468,0.94843,1.12551,0.70287,0.61878,0.67127,0.50552,0.86835,0.8568,1.07107,7.63174e-06,7.63174e-06,7.63174e-06
