epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2333.77,0.92828,1.14794,1.18956,0.69077,0.58733,0.63953,0.47947,0.88051,0.94976,1.12382,5e-05,5e-05,5e-05
2,4702.46,0.91518,1.0794,1.1758,0.70286,0.59656,0.65495,0.49152,0.87784,0.92467,1.12477,4.97883e-05,4.97883e-05,4.97883e-05
3,7078.77,0.90929,1.05363,1.16972,0.70373,0.60123,0.66019,0.49698,0.87475,0.91881,1.12356,4.91567e-05,4.91567e-05,4.91567e-05
4,9456.75,0.90615,1.03543,1.16838,0.70209,0.60944,0.66752,0.50198,0.87284,0.90497,1.11404,4.8116e-05,4.8116e-05,4.8116e-05
5,11833.9,0.90055,1.01683,1.16054,0.71794,0.60419,0.67263,0.50884,0.86901,0.88863,1.11383,4.66841e-05,4.66841e-05,4.66841e-05
6,14212.9,0.8973,1.00397,1.15524,0.71926,0.61575,0.68016,0.5153,0.86453,0.87951,1.10231,4.48855e-05,4.48855e-05,4.48855e-05
7,16585.8,0.89341,0.99291,1.15341,0.70343,0.62784,0.68436,0.51829,0.86435,0.87194,1.10726,4.27509e-05,4.27509e-05,4.27509e-05
8,18965.2,0.89195,0.97892,1.15048,0.71663,0.63008,0.68721,0.52072,0.861,0.86501,1.10257,4.03168e-05,4.03168e-05,4.03168e-05
9,21341.2,0.88802,0.96709,1.15104,0.72483,0.63128,0.68942,0.52278,0.85892,0.86091,1.10322,3.7625e-05,3.7625e-05,3.7625e-05
10,23720.5,0.88122,0.95651,1.15079,0.7247,0.63201,0.69153,0.5246,0.85682,0.85807,1.10375,3.47214e-05,3.47214e-05,3.47214e-05
11,26095.5,0.87913,0.94347,1.14585,0.72478,0.63208,0.69366,0.52611,0.85635,0.85576,1.10448,3.16558e-05,3.16558e-05,3.16558e-05
12,28472.4,0.87564,0.93461,1.1447,0.72543,0.63408,0.6949,0.52705,0.85571,0.85351,1.10432,2.84805e-05,2.84805e-05,2.84805e-05
13,30824.9,0.85314,0.86428,1.12326,0.72255,0.63514,0.69478,0.52733,0.85469,0.85153,1.10532,2.525e-05,2.525e-05,2.525e-05
14,33186.8,0.84734,0.84601,1.11129,0.72119,0.63725,0.69487,0.52771,0.85418,0.85086,1.10441,2.20195e-05,2.20195e-05,2.20195e-05
15,35542.4,0.84298,0.83323,1.10818,0.72064,0.63789,0.69494,0.52774,0.85405,0.84989,1.10395,1.88442e-05,1.88442e-05,1.88442e-05
16,37900.5,0.83686,0.82139,1.10575,0.72225,0.63816,0.69543,0.52835,0.85389,0.84978,1.10374,1.57786e-05,1.57786e-05,1.57786e-05
17,40261.1,0.8338,0.81138,1.10338,0.7288,0.63441,0.69577,0.52875,0.85339,0.84937,1.10317,1.2875e-05,1.2875e-05,1.2875e-05
18,42620.1,0.83027,0.8016,1.09902,0.7289,0.63565,0.69623,0.52896,0.85357,0.84905,1.10327,1.01832e-05,1.01832e-05,1.01832e-05
19,44973.9,0.8274,0.79416,1.09723,0.73206,0.63292,0.69564,0.52885,0.85384,0.85016,1.10291,7.74911e-06,7.74911e-06,7.74911e-06
20,47331.5,0.82492,0.78587,1.09505,0.72388,0.63704,0.69531,0.5287,0.85349,0.85088,1.1025,5.6145e-06,5.6145e-06,5.6145e-06
21,49686.3,0.82345,0.78287,1.09488,0.72226,0.63814,0.69546,0.52852,0.85378,0.85197,1.10214,3.81587e-06,3.81587e-06,3.81587e-06
22,52039,0.82151,0.7786,1.09252,0.73049,0.63452,0.69514,0.52831,0.85422,0.85306,1.1021,2.38398e-06,2.38398e-06,2.38398e-06
23,54392.1,0.82089,0.77694,1.09336,0.72231,0.63916,0.69464,0.52793,0.85464,0.85452,1.10208,1.34334e-06,1.34334e-06,1.34334e-06
24,56746.1,0.82041,0.77581,1.09257,0.72487,0.63554,0.69432,0.52762,0.85511,0.85619,1.10181,7.1174e-07,7.1174e-07,7.1174e-07
